original_path,source_category,assigned_category,new_path,status,duplicate_of,width,height,bytes
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Frambosier-cake-6p--746b0269ca.jpg,daily-choice,cakes,cakes/framboisier-cake-6p.jpg,canonical,,1080,810,66768
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeframboisier--9f4df8a276.png,cakes,cakes,cakes/framboisier-cake.png,canonical,,640,480,47660
images/labaguettedenormandy.com/wp-content/gallery/cakes/Framboisier-Macaroon--7f30cf1d09.jpg,cakes,cakes,cakes/framboisier-macaron-cake.jpg,canonical,,1200,900,236062
images/labaguettedenormandy.com/wp-content/uploads/2020/05/Grand-marnier-rotated--f8b168a4b3.jpg,other,cakes,cakes/grand-marnier-cake-2.jpg,canonical,,1200,1600,169400
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakegrandmarnier2016--685e6b8bf7.png,cakes,cakes,cakes/grand-marnier-cake.png,canonical,,640,480,34472
images/labaguettedenormandy.com/wp-content/gallery/buches/100-0010_IMG--993704e3dc.jpg,buches,cakes,cakes/holiday-berry-buche.jpg,canonical,,480,640,83423
images/labaguettedenormandy.com/wp-content/gallery/buchette-de-noel/buchettes--65fd8a051b.png,buchette-de-noel,cakes,cakes/holiday-buchettes-assortment-1.png,canonical,,640,480,260064
images/labaguettedenormandy.com/wp-content/gallery/buchette-de-noel/buchettes10--7496c5d323.png,buchette-de-noel,cakes,cakes/holiday-buchettes-assortment-2.png,canonical,,360,480,114607
images/labaguettedenormandy.com/wp-content/gallery/buchette-de-noel/buchettes2--b45da03f53.png,buchette-de-noel,cakes,cakes/holiday-buchettes-assortment-3.png,canonical,,640,480,226035
images/labaguettedenormandy.com/wp-content/gallery/buchette-de-noel/buchettes3--1541e45a84.png,buchette-de-noel,cakes,cakes/holiday-buchettes-assortment-4.png,canonical,,640,480,85592
images/labaguettedenormandy.com/wp-content/gallery/cakes/21-3--150118b374.jpg,cakes,cakes,cakes/lemon-cake.jpg,canonical,,2448,3264,239458
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakecharlottemixedberry2016--622aab1957.png,cakes,cakes,cakes/mixed-berry-charlotte-cake.png,canonical,,640,480,60372
